rank,headword,pos,en,ex_fr,ex_en,dispersion,freq
297,quoi,pro,what,je ne sais pas de quoi vous parlez –,I don’t know what you’re talking about,63,10985
298,entreprise,nf,"enterprise, business",j’ai moi-même l’esprit d’entreprise,,,
299,coup,nm,"coup, blow, knock, stroke",je lui donne juste un coup de main. je le lui dois –,I’m just giving him a helping hand. I owe it to him,77,6123
300,or,"conj, nm","gold; hence, thus",je ne suis pas chercheuse d’or –,I’m not a gold-digger,87,3245
301,social,nadj,social,elle a une dimension sociale autant que biologique –,it has a social dimension as much as a biological one,71,8096
302,assurer,v,"to assure, insure",le contrat assure une pension à l’époux survivant –,the contract guarantees a pension to the surviving spouse,77,6044
303,essayer,v,to try,je vais essayer de vous convaincre –,I’ll try to convince you,79,5341
304,juste,"adv, nadj(f)","just, only; fair","vous êtes juste et impartial, comme toujours –","you’re fair and impartial, as always",79,5294
305,étranger,nadj,foreigner; foreign,la situation est bien différente à l’étranger –,the situation is very different abroad,76,6272
306,empêcher,v,to prevent,cela n’aurait évidemment rien empêché –,apparently that wouldn’t have prevented anything,89,2705
307,million,nm,million,un quart de million d’articles ont été distribués –,a quarter million articles were distributed,69,8380
308,manière,nf,"manner, way","de cette manière, nous serons ensemble –","this way, we will be together",80,5094
309,sortir,v,"to go out, leave",sortez ou j’appelle la police –,get out of here or I’ll call the police,73,7005
310,prix,nm(pl),price; prize,il y a un prix pour les gagnants –,there is a prize for the winners,78,5543
311,terme,nm,"term, deadline",l’éducation sur le long terme paiera –,education will pay off in the long term,77,5905
312,longtemps,adv,"a long time, a long while",pendant longtemps il ne bougea pas de son lit –,for a long while he didn’t move from his bed,84,3743
313,reprendre,v,"to resume, recover, start again, take back","on peut les arrêter, leur reprendre cette ville","we can arrest them, take back this city from them",84,3867
314,courant,"adj, nm",current,"je suis au courant, il a téléphoné –","I’m aware of it, he telephoned",89,2490
315,intérêt,nm,interest,l’avenir ne présente guère d’intérêt –,the future is hardly interesting,77,5773
316,mener,v,to lead,la police mène une enquête pour arrêter les assaillants –,the police are leading an investigation to arrest the attackers,85,3622
317,information,nf,information,ces dirigeants ont décidé de taire ces informations –,these leaders decided to suppress this information,73,6966
318,détail,nm,detail,vous devriez tout me raconter en détails –,you should tell me everything in minute detail,92,1765
319,appartenir,v,to belong,cet argent n’appartient pas au gouvernement –,this money does not belong to the government,91,1920
320,liberté,nf,"liberty, freedom",on se bat pour la liberté d’expression –,we’re fighting for freedom of expression,86,3350
321,assez,adv,enough,les journées ne sont plus assez longues –,the days are no longer long enough,77,5630
322,risquer,v,to risk,un avocat ne viendra pas risquer sa vie –,a lawyer won’t come here to risk his life,88,2752
323,chacun,pro,each,"ils ont chacun leurs intérêts, leurs passions –","they each have their own interests, passions",84,3785
324,concerner,v,to concern,"en ce qui me concerne, je voudrais te féliciter –","for my part, I would like to congratulate you",70,7875
325,maison,nf,house,elle est revenue habiter à la maison –,she came back to live at home,76,5803
326,d’abord,adv,first of all,je voudrais d’abord savoir quel métier tu exerces –,I would first of all like to know what you do for a living,83,3844
327,apprendre,v,to learn,où as-tu appris le métier? –,where did you learn your trade?,83,4035
328,niveau,nm,level,ce niveau de collaboration ne sera pas maintenu –,this level of cooperation will not be maintained,71,7236
329,rencontrer,v,to meet,il rencontrera le pape au Vatican vendredi –,he will meet the Pope at the Vatican on Friday,82,4103
330,ton,"det, nm",your; tone,le ton était donné –,the tone was sounded,57,12083
331,æuvre,nf,"work, task",peu d’auteurs font référence à son æuvre –,few authors cite his work,84,3754
332,créer,v,to create,des malentendus nous créent des problèmes terribles –,misunderstandings create horrible problems for us,77,5446
333,état,nm,state,la police était en état d’alerte maximum –,the police were in a full state of emergency,74,6400
334,obtenir,v,"to get, obtain",j’essaierai d’obtenir la réponse pour demain –,I will try to get the answer for tomorrow,79,5088
335,clair,"adv, nadj",clear,"la nuit était froide et claire, sous la lune –","the night was cold and clear, under the moon",86,3080
336,chercher,v,to look for,je ne cherche pas la richesse –,I am not seeking riches,76,5694
337,entrer,v,"to enter, go in, come in",faut trouver le moyen d’ entrer dans le soussol –,gotta find the way to enter into the basement,83,3800
338,proposer,v,to propose,le jeune Français propose une promenade au parc –,the young Frenchman proposed a stroll through the park,73,6484
339,apporter,v,to bring,je vous ai apportée des fleurs de mon jardin –,I brought you flowers from my garden,84,3624
340,programme,nm,program,• utilisons ce programme comme il se,,,
341,loin,"adv, nm",far,tu es venu de si loin –,you came from so far away,80,4677
342,ligne,nf,line,il ne compte qu’une seule ligne de texte –,it only has a single line of text,80,4557
343,tête,nf,head,ma tête me gratte –,my head is itchy,71,6952
344,libre,adj(f),free,demain je suis libre toute la journée –,tomorrow I’m free all day,87,2703
345,utiliser,v,to use,il utilisait une sorte de rasoir –,he was using some type of razor,68,7709
346,atteindre,v,to reach,leur fortune atteindrait des milliards –,their fortune would reach billions,82,3980
347,tenter,v,"to tempt, try",il tente de sortir de l’Italie –,he tried to leave Italy,85,3186
348,tard,adv,late,"retournez au lit, il est tard –","go back to bed, it’s late",82,3996
349,enfin,adv,"at last, finally",elle avait enfin la réponse –,she finally got the answer,74,5989
350,différent,adj,different,c’est un bruit complètement différent –,it’s a completely different noise,75,5696
351,sorte,nf,"sort, kind",la boisson est une sorte de drogue –,liquor is a kind of drug,79,4741
352,cependant,"adv, conj",however,cette sécurité se trouve cependant menacée –,"this security is, however, threatened",81,4220
353,sujet,nm,"subject, topic",je cherchais un sujet de mémoire –,I was looking for a thesis topic,73,6227
354,importer,v,to import; to be important,il importait de ne pas répéter l’erreur,it’s important to not repeat the mistake,86,3055
355,action,nf,action,le président devrait éviter des actions irréfléchies –,the president should avoid rash actions,78,4997
356,relation,nf,relationship,il y a là une relation intéressante à explorer –,now there is an interesting relationship to explore,81,4222
357,recherche,nf,"research, search",la recherche en santé peut se révéler extrêmement bénéfique –,health research can be extremely beneficial,77,5132
358,livre,"nm, nf",book,je me mis à feuilleter les livres –,I began paging through the books,70,7124
359,ajouter,v,to add,il ajouta à sa lettre une note –,he added a note to his letter,74,5987
360,ailleurs,adv,"elsewhere, somewhere else",les négociations décisives se tiennent ailleurs –,the decisive negotiations are taking place elsewhere,84,3382
361,vraiment,adv,"truly, really, very","très mauvais, c’est pas vraiment sexy –","very bad, it’s not really sexy",70,7077
362,doute,nm,doubt,il n’y a sans doute rien à voir –,"without a doubt, there’s nothing to see",80,4304
363,reste,nm,rest,"c’est tout. le reste, je m’en fous –","that’s all. for the rest, I couldn’t give a sh*t",87,2607
364,début,nm,beginning,je l’ai expliqué au début de mon discours –,I explained it at the beginning of my talk,77,5096
365,présence,nf,presence,j’ai besoin de sa présence; elle est mon ange –,I need to be in her presence; she is my angel,88,2475
366,nombreux,adj(pl),numerous,j’ai participé à de nombreux débats de ce genre –,I have participated in numerous debates of this kind,78,4678
367,produire,v,to product,nous devons produire quelque chose sur les terres en jachère –,we must produce something with the fallow lands,81,4014
368,préparer,v,to prepare,je vous prépare à manger? –,should I prepare you some food?,89,2223
369,forme,nf,form,les électrons ne sont plus sous forme de gaz –,the electrons are no longer in the form of gas,79,4533
370,décision,nf,decision,"parfois, vos décisions nous déçoivent –",sometimes your decisions disappoint us,73,5924
371,rôle,nm,role,il joue un rôle actif sur la scène internationale –,he plays an active role in the international scene,79,4354
372,dix,"det, nmi",ten,je patiente depuis dix minutes –,I have been patiently waiting for ten minutes,81,3871
373,produit,nm,product,de nouveaux marchés s’ouvrent ainsi aux produits français –,new markets are thus opening to French products,79,4492
374,américain,nadj,American,c’est la voie que les Américains ont choisie,it’s the path that the Americans have chosen,60,9762
375,minute,nf,minute,vous ne pouvez pas attendre deux minutes –,you can’t wait two minutes,81,4025
376,relever,v,to raise,elle relevait la tête pour croiser mon regard –,she lifted up her head to catch me looking at her,89,2219
377,autant,adv,"as much, as many",il a une bonne raison pour tarder autant –,he has a good reason for being so late,84,3276
378,peuple,nm,people,ma vengeance va s’abattre sur votre peuple! –,my vengeance will smite your people!,84,3206
379,second,"adj, det, nm",second,j’ai écrit la seconde partie du roman avant la première –,I wrote the second part of the novel before the first,84,3301
380,prochain,nadj,next,je vous offre 50% sur votre billet prochain –,I’ll offer you 50% off your next ticket,76,5091
381,particulier,nadj,"particular, peculiar; person",j’ai un regard un peu particulier –,I have a somewhat peculiar look,78,4643
382,écrire,v,to write,c’est pour cela que j’écris –,that’s why I’m writing,70,6496
383,position,nf,position,ils ne changent pas de position à ce sujet –,they aren’t changing positions on this subject,78,4628
384,développement,nm,development,nous allons poursuivre le développement de nos activités –,we will pursue the development of our activities,74,5540
